24559
-24219506809241608/2199023255552 6886285062963193/2199023255552 -6095978364927985/549755813888 1722037043200001/549755813888 
20124684989235208/4398046511104 -7053918391500807/4398046511104 20202838294528004/4398046511104 -6981076752793581/4398046511104 
16554164591001634/1099511627776 -2477716720844801/1099511627776 33164475813068908/2199023255552 -4970696094515199/2199023255552 
51019027015873122646564206992/9939850148256343870406656 24458827657614473166822778053/9939850148256343870406656 5643547196897207/1099511627776 2697564216325661/1099511627776 
-40339332766105592/4398046511104 6320478905958401/4398046511104 -40440801368473592/4398046511104 6403453983129595/4398046511104 
-8958205388390385/35184372088832 17988116597964800/35184372088832 -2286879244288002/8796093022208 4576434035097597/8796093022208 
-8404547194060802/1099511627776 7592005651660795/1099511627776 -8353501675520001/1099511627776 7594585987481603/1099511627776 
3893725062000136/1099511627776 3403215659790643/1099511627776 3892271162327040/1099511627776 3410485158156111/1099511627776 
29258310431539092/2199023255552 7538274939699197/2199023255552 29177705974988772/2199023255552 7508797371187211/2199023255552 
27506923431526316/2199023255552 2518139954790389/2199023255552 13750258106368052/1099511627776 1265349479628805/1099511627776 
-8542976842137601/1099511627776 6417837090406404/1099511627776 -4280461295615999/549755813888 3211923554304000/549755813888 
5412214957670398/1099511627776 4290663101235205/1099511627776 10831447824793592/2199023255552 8564952478515195/2199023255552 
-2401206534144000/8796093022208 4654441378611197/8796093022208 -4967047469465607/17592186044416 9297338354892798/17592186044416 
9716643764633602/2199023255552 -3844956225535991/2199023255552 19535536272179196/4398046511104 -7552725155840007/4398046511104 
8849135029452803/1099511627776 4636780422758397/1099511627776 2211897671679999/274877906944 1161590367846400/274877906944 
269050812825600/274877906944 1303636764262401/274877906944 8504304520396803/8796093022208 41607713783808032/8796093022208 
-17133555679232034/1099511627776 2222427052441599/1099511627776 -34261970819481612/2199023255552 4459625185280007/2199023255552 
-7479996763340801/1099511627776 7666795125145603/1099511627776 -7477065783705599/1099511627776 7653480726528003/1099511627776 
4135902091673599/549755813888 2960846854553601/549755813888 8326379628134399/1099511627776 5934428035481598/1099511627776 
-7616578401075205/1099511627776 6486184532377605/1099511627776 -7638616952012805/1099511627776 6486899241779202/1099511627776 
-13041778923929586/1099511627776 7606554853376005/1099511627776 -13011168054476770/1099511627776 7603295879167995/1099511627776 
13399339984486410/2199023255552 7024709677875191/2199023255552 438636970700158252624171972543919074672518/72029025212767640683032522575119908864 232077227488736675542347538193755974548023/72029025212767640683032522575119908864 
-135288020428390448/17592186044416 6701146806681595/17592186044416 -135384429022412736/17592186044416 6913366425600001/17592186044416 
-7024112828416001/1099511627776 4896142760345597/1099511627776 -7030590930944003/1099511627776 4908678696140797/1099511627776 
9370501277286402/2199023255552 2901054534451205/2199023255552 9420638309580808/2199023255552 2882997426585589/2199023255552 
129827694287257328/8796093022208 -8715720930099199/8796093022208 8108717060915173/549755813888 -531814993100800/549755813888 
56910759434649712/4398046511104 -6586480826777597/4398046511104 28518371452518388/2199023255552 -3342032751820803/2199023255552 
-7495276612812799/1099511627776 -2759200866303998/1099511627776 -15032199308902394/2199023255552 -5589865123020805/2199023255552 
23072888114380904/2199023255552 4395594520985605/2199023255552 46144075019059120/4398046511104 8891711409356815/4398046511104 
29765267567411132/2199023255552 -7484039233536001/2199023255552 27657700/2048 -6897225/2048 
4873341684940814/274877906944 -1100142346239999/274877906944 19461372588851240/1099511627776 -4426021679923205/1099511627776 
9527377474355204/4398046511104 -7919449092915203/4398046511104 4692791577804793/2199023255552 -3951753691135995/2199023255552 
4859594388066745/4398046511104 16343198959581184/4398046511104 4921370036092353/4398046511104 16219647663529968/4398046511104 
17688690268569594/1099511627776 7618212501913597/1099511627776 17709395030835158/1099511627776 7597635246489603/1099511627776 
-6976083014451195/1099511627776 8399929265356795/1099511627776 -7014899200819199/1099511627776 8390581839462397/1099511627776 
3894245169561607/274877906944 -405164654592000/274877906944 62312298210918616/4398046511104 -6421118294425617/4398046511104 
70449479924896096994499343014574075221547386/28282925541751715339734195898576871096320 22756047079720282040234659117544224167373249/28282925541751715339734195898576871096320 5549009246617605/2199023255552 1748237811712000/2199023255552 
7424664706611381/8796093022208 32245143290408084/8796093022208 7411427067748753/8796093022208 32346631855021544/8796093022208 
100546748035891392/8796093022208 -7627212639436799/8796093022208 50114631355596856/4398046511104 -3774817815756801/4398046511104 
683305913548801/549755813888 3421827078553598/549755813888 1350004794982399/1099511627776 6785683423231999/1099511627776 
-19716258765209592/2199023255552 4676629246771193/2199023255552 -19646908465152004/2199023255552 4686563455795201/2199023255552 
-8352656103833601/1099511627776 4269954983526398/1099511627776 -8346177581875195/1099511627776 4272892254617601/1099511627776 
1895931733606396/1099511627776 7550950965247995/1099511627776 3872607174655999/2199023255552 15126754020556810/2199023255552 
-4615218344755202/4398046511104 6637893766348821/4398046511104 -4594044239872018/4398046511104 6691134583603201/4398046511104 
-4794838574694405/1099511627776 9136641985740796/1099511627776 -2324131164979199/549755813888 4576434873958402/549755813888 
5415116577177599/2199023255552 17692075910758402/2199023255552 5494595282534397/2199023255552 17679407434956794/2199023255552 
14578256497868802/2199023255552 6542778695679989/2199023255552 7301334512435199/1099511627776 3279137275903999/1099511627776 
-2714016048742400/274877906944 1962881004339201/274877906944 -5455264455065601/549755813888 3939414887628801/549755813888 
8732997268275200/1099511627776 1122512771481599/1099511627776 34865930462822408/4398046511104 4299892247756799/4398046511104 
564453546393599/2199023255552 9304170037247996/2199023255552 2088870556467197/8796093022208 37294808288460768/8796093022208 
-8770201583615999/8796093022208 10700786866585624/8796093022208 -1113005332889605/1099511627776 1338898068275197/1099511627776 
2894454670395110/1099511627776 4537718022177767/1099511627776 2917497967674507/1099511627776 4546788256213281/1099511627776 
1523858171494401/549755813888 3163578118963198/549755813888 1523498195353598/549755813888 3160697680691201/549755813888 
-20642611068928000/2199023255552 3546613704294405/2199023255552 -2588230759219199/274877906944 446451364659199/274877906944 
-6070243373875201/4398046511104 11601366849945590/4398046511104 -2952202184294397/2199023255552 5851167326207992/2199023255552 
-7102388607385601/1099511627776 8762598988185595/1099511627776 -7088748730777603/1099511627776 8787393196851199/1099511627776 
4243714998272005/274877906944 1630513869619200/274877906944 8518821845401617/549755813888 3259952529407998/549755813888 
2619590311935995/2199023255552 13020834247475192/2199023255552 5175152476159989/4398046511104 25895710071193604/4398046511104 
5643164241100773/549755813888 696660053196799/549755813888 45101901204684720/4398046511104 5701535111577613/4398046511104 
-8586757826150383/549755813888 1152684916735999/549755813888 -17143021384499166/1099511627776 2287758999552001/1099511627776 
48001269209497528/4398046511104 8069348484710405/4398046511104 47875195142143784/4398046511104 8136131031859189/4398046511104 
2658906249625600/1099511627776 6585868038963205/1099511627776 5313890825011199/2199023255552 13183017916825590/2199023255552 
1916308501299199/2199023255552 9269124110745592/2199023255552 479437101465600/549755813888 2321326014463999/549755813888 
3481068057395201/549755813888 1968476625305598/549755813888 3478120510259199/549755813888 1963564885606398/549755813888 
7901047842406401/8796093022208 47630294764748760/8796093022208 7966586358988803/8796093022208 47661741978419216/8796093022208 
-37251284834713592/4398046511104 4814613879193617/4398046511104 -9394520378572804/1099511627776 1233276266086399/1099511627776 
4290839262003209/2199023255552 9281993913139208/2199023255552 2151999864831998/1099511627776 4619852631244803/1099511627776 
7786751015077371/2199023255552 6870593506398851/2199023255552 3900553774664270/1099511627776 3424290076940195/1099511627776 
4014406783845167/1099511627776 3557584897924702/1099511627776 8006347033309112/2199023255552 7120027424904821/2199023255552 
-7279527487078397/1099511627776 -4948204139315203/1099511627776 -3655396753408001/549755813888 -2480175631564798/549755813888 
7078261293055991/2199023255552 -5619881659596799/2199023255552 7083890887884811/2199023255552 -5491199154585593/2199023255552 
-6929817324748799/1099511627776 4925835916083201/1099511627776 -1734469274828801/274877906944 1228159320064000/274877906944 
12820009294233604/2199023255552 8300213882060793/2199023255552 6369310670847999/1099511627776 4166687444172805/1099511627776 
-31783747846143992/4398046511104 8184191883673621/4398046511104 -31707324271820812/4398046511104 8215105581875219/4398046511104 
-7289580394905597/1099511627776 4970126508032001/1099511627776 -7339973279743999/1099511627776 4972775211007999/1099511627776 
12347941284243576/2199023255552 5644360309698621/2199023255552 321528630487147909480800092072291528177820/57190809549037265470799982812639264768 146482031383308859836680796503137299339081/57190809549037265470799982812639264768 
53293138680217808/4398046511104 -3974805166489599/4398046511104 53222040194252856/4398046511104 -3960981998796799/4398046511104 
-70980401207705560/8796093022208 6467455287296001/8796093022208 -17734419926220798/2199023255552 1633067676467199/2199023255552 
7235469679001595/2199023255552 11747414192947202/2199023255552 7228964313497599/2199023255552 11731151198617596/2199023255552 
5601219942809605/4398046511104 16561127135641616/4398046511104 5566964223180819/4398046511104 16617131160371202/4398046511104 
2125455792537603/1099511627776 4895748915199999/1099511627776 4256433386291189/2199023255552 9797019212185610/2199023255552 
12426570157260820/1099511627776 2401668327014401/1099511627776 24838668287999944/2199023255552 4787942300057605/2199023255552 
-7733158241894401/1099511627776 4774210148761601/1099511627776 -7749646050918399/1099511627776 4740635584102396/1099511627776 
24311553327103940/17592186044416 -3767379637043209/17592186044416 49082879547801712/35184372088832 -7934573753139217/35184372088832 
-423503200/65536 313709675/65536 -1771704628019201/274877906944 1313793271398400/274877906944 
8272852759347224/549755813888 3264407089971201/549755813888 8264134479052800/549755813888 3265902778777599/549755813888 
5552103804108807/2199023255552 11907389141811198/2199023255552 5536847862169605/2199023255552 11907389141811198/2199023255552 
3091484744089591/2199023255552 11167605352038398/2199023255552 1509390024704003/1099511627776 5582607299379202/1099511627776 
-5310175091097601/549755813888 1108936962867199/549755813888 -21193125212979196/2199023255552 4384128132710389/2199023255552 
6880512861798419/549755813888 689613884620800/549755813888 55117519991603024/4398046511104 5494717336780809/4398046511104 
6907665040644025/1099511627776 3111984282636386/1099511627776 2056927413755206484445759885817746054821911/327381457150961523174080251630761017344 924750615407837297570650639116898386440579/327381457150961523174080251630761017344 
-4100/1 -9000/1 -4200/1 -9000/1 
12022114261401604/2199023255552 8227158333849597/2199023255552 5983273641574399/1099511627776 4107123713638402/1099511627776 
28913599040716856/2199023255552 -6952844892569605/2199023255552 7223022662451193/549755813888 -1738222862335999/549755813888 
8244327297843197/1099511627776 -9895604649984000/1099511627776 8134376135065597/1099511627776 -9895604649984000/1099511627776 
-27614260704051180/4398046511104 -5605766148915193/4398046511104 -27465795764224020/4398046511104 -5725049218662383/4398046511104 
-8151909164646402/1099511627776 2236404989951997/1099511627776 -8133057445888000/1099511627776 2221768336998395/1099511627776 
6715317262745593/4398046511104 -2621052236595198/4398046511104 3227748034150407/2199023255552 -1305707701862401/2199023255552 
15567739787673590/2199023255552 8424227707289607/2199023255552 15554489142476792/2199023255552 8388319431884795/2199023255552 
2255918360166399/274877906944 195205464064000/274877906944 36056364534988816/4398046511104 2977889569996799/4398046511104 
-13899453693952000/1099511627776 7663169568767999/1099511627776 -13837814202368028/1099511627776 7639131173683199/1099511627776 
2367954092032001/1099511627776 5440657371955202/1099511627776 4791379951615999/2199023255552 10888804931993590/2199023255552 
-7697608160051205/1099511627776 -5983191013785602/1099511627776 -3813332851097598/549755813888 -2992998501580799/549755813888 
4517505741619203/8796093022208 45207684907008008/8796093022208 1146523169587199/2199023255552 11313902675558398/2199023255552 
6998418941542381/549755813888 4037034377216000/549755813888 7032653689651198/549755813888 4036225295974399/549755813888 
-6955197897113603/70368744177664 384300090812006464/70368744177664 -4693117475225597/70368744177664 383961003143987072/70368744177664 
5613832214937589/2199023255552 14253929424486394/2199023255552 5619728986931209/2199023255552 14283990840115208/2199023255552 
-7531057381375995/1099511627776 6465891231334398/1099511627776 -7516891539046397/1099511627776 6465163519590404/1099511627776 
-9258265057689594/1099511627776 8537452104908803/1099511627776 -9308975031910396/1099511627776 8545921243545603/1099511627776 
6696397596262427/549755813888 1348163076096000/549755813888 26778874465484820/2199023255552 5331183520972793/2199023255552 
25684436267827112/2199023255552 1520858719846399/2199023255552 102865198225817680/8796093022208 5899286059417597/8796093022208 
17529830165708794/1099511627776 7758640316416003/1099511627776 17555818073292780/1099511627776 7741876522188803/1099511627776 
6439550163353607/2199023255552 15388369538252796/2199023255552 3272102169804802/1099511627776 7680129656422397/1099511627776 
5935352879513597/1099511627776 -9895604649984000/1099511627776 5825401716735997/1099511627776 -9895604649984000/1099511627776 
4763095243161597/1099511627776 4740953512345602/1099511627776 4767773989273603/1099511627776 4733936022323199/1099511627776 
2285514208051204/1099511627776 4606699293900803/1099511627776 4574536951398391/2199023255552 9191783661567998/2199023255552 
3295373216972809/2199023255552 10004916600832002/2199023255552 6576426660659185/4398046511104 20022364104294380/4398046511104 
7726830714880001/8796093022208 47684199959756792/8796093022208 3851637751807999/4398046511104 23878055231487992/4398046511104 
1668035169484801/274877906944 1422358216703999/274877906944 3337765886361598/549755813888 2848955616460801/549755813888 
9107655989657598/1099511627776 5081157284659199/1099511627776 9129370740326404/1099511627776 5120442813644799/1099511627776 
-26782865765171256/2199023255552 8069418110156795/2199023255552 -6691308647219209/549755813888 2017188852531201/549755813888 
-7587791215001595/1099511627776 6461241425920000/1099511627776 -7569694470963201/1099511627776 6463546615398403/1099511627776 
-9968962188083202/1099511627776 7606483550208001/1099511627776 -9929582706688002/1099511627776 7583369579724797/1099511627776 
-1392370935398399/274877906944 -2162801665638401/274877906944 -5501516722995203/1099511627776 -8617222733824004/1099511627776 
2784441978060795/274877906944 587440639180800/274877906944 22307363880960104/2199023255552 4678764986367997/2199023255552 
-10561462154035198/1099511627776 7403234289254403/1099511627776 -10546415507865600/1099511627776 7395118311014397/1099511627776 
2760308162559998/549755813888 -3673630231756801/549755813888 5520616325119996/1099511627776 -7319521014579199/1099511627776 
7613810160435201/8796093022208 49635098256998368/8796093022208 126540835520918818951490390846605126690406391/146104350420431721738980013964404923039744 824428020165001827793561559232261384044544220/146104350420431721738980013964404923039744 
18851354692812836/1099511627776 6670863512371197/1099511627776 4708000124108809/274877906944 1662162409881600/274877906944 
-6909150730649603/1099511627776 6436810024550399/1099511627776 -6904419975168001/1099511627776 6420196805836803/1099511627776 
6360714025369593/4398046511104 24592227762176012/4398046511104 3151131102412791/2199023255552 12244943372287990/2199023255552 
6543007285248026/549755813888 1367044050124799/549755813888 26110074237747304/2199023255552 5433128596275199/2199023255552 
5487543299273563/2199023255552 6696307975411145/2199023255552 5438589928118537/2199023255552 6632202370327195/2199023255552 
124003315980697568/35184372088832 5997299813580813/35184372088832 123926999780556928/35184372088832 7047945702604791/35184372088832 
63720577721958344/17592186044416 -3968926010572793/17592186044416 66533398780313616/17592186044416 -5540181914419203/17592186044416 
-14724072315289596/2199023255552 4075017155379209/2199023255552 -3675200579174401/549755813888 1020514323660799/549755813888 
12700729160499252/1099511627776 2505608842444805/1099511627776 12687175686553586/1099511627776 2502787963289601/1099511627776 
-4964241899520003/2199023255552 14265540935679998/2199023255552 -4892085190656003/2199023255552 14276763215462392/2199023255552 
-4973452591103989/2199023255552 16128613862604790/2199023255552 -2560772118937598/1099511627776 8084298661888001/1099511627776 
-7361042107596801/1099511627776 1979505337958395/1099511627776 -7364628237516802/1099511627776 1989981241343997/1099511627776 
-2271527252787199/274877906944 765671715635200/274877906944 -18159693830553608/2199023255552 6182101267251209/2199023255552 
5204301211238399/70368744177664 48077061960499200/70368744177664 5773090357248003/70368744177664 46559643303935976/70368744177664 
1772124058419201/274877906944 994731202969600/274877906944 13980498552422394/2199023255552 7889606619955205/2199023255552 
-12385725186048030/1099511627776 8383163793408001/1099511627776 -6177602876211212/549755813888 4187904750387199/549755813888 
362119537518183744/35184372088832 6678639751987211/35184372088832 361168765976575040/35184372088832 7213155142860801/35184372088832 
6128774886195205/4398046511104 19083621826559988/4398046511104 769399665459199/549755813888 2371663953920001/549755813888 
22693172740096048/2199023255552 4608405956198389/2199023255552 5665043408486421/549755813888 1169157731123202/549755813888 
-16542623544115206/2199023255552 8358491219558393/2199023255552 -16581741300940800/2199023255552 8279559451443197/2199023255552 
-3853232845619199/549755813888 -607734674227200/549755813888 -15377543200768008/2199023255552 -2423741900390403/2199023255552 
3515278688255999/1099511627776 5917616845619199/1099511627776 7048446502502401/2199023255552 11828728325734404/2199023255552 
-12842877478502404/2199023255552 -6008761588121599/2199023255552 -6430837335654399/1099511627776 -3001640445542395/1099511627776 
8718751734169621/549755813888 2870806052863999/549755813888 17423046541311994/1099511627776 5721209333350405/1099511627776 
1378814944870399/1099511627776 6766407240908799/1099511627776 5656636764979179/4398046511104 27028856661606380/4398046511104 
48105043001343944/4398046511104 5596982856908821/4398046511104 48058375497318184/4398046511104 5499090737561579/4398046511104 
13448300095078430/1099511627776 4438804660223999/1099511627776 13445489911398396/1099511627776 4453570288025603/1099511627776 
-3705931825151998/549755813888 3624472988876801/549755813888 -7429629883187202/1099511627776 7261778870271995/1099511627776 
8000552671641621/549755813888 -905637894553601/549755813888 64059651968204800/4398046511104 -7292515568844781/4398046511104 
2962602170777601/4398046511104 27422993730764788/4398046511104 1498991191654399/2199023255552 13765953191935998/2199023255552 
-53891343738470376/8796093022208 8857828143923199/8796093022208 -53948527201484792/8796093022208 8842579332300827/8796093022208 
28777331136921696/2199023255552 -2793507337011191/2199023255552 57633427947519944/4398046511104 -5581251700326391/4398046511104 
-18676579722854420/1099511627776 7278233124863999/1099511627776 -18655307890687960/1099511627776 7267786791321605/1099511627776 
28820606287872084/2199023255552 -6974018997452811/2199023255552 3586713767116800/274877906944 -872834242969599/274877906944 
5772730004402581/2199023255552 8845003071561653/2199023255552 5761943780144125/2199023255552 8869026934682711/2199023255552 
-14711425649868810/2199023255552 2340552703999999/2199023255552 -29305997990297612/4398046511104 4692532789248003/4398046511104 
53611338714316584/4398046511104 -3948960704102399/4398046511104 107023357391667344/8796093022208 -7870401740800001/8796093022208 
-3070462263295999/274877906944 792488470118399/274877906944 -24591513052774484/2199023255552 6394386317312011/2199023255552 
-8494324593459205/1099511627776 6767038064230399/1099511627776 -4254987609702401/549755813888 3388533951692800/549755813888 
6395975119667203/8796093022208 45946932664729576/8796093022208 1599281509171201/2199023255552 11519199595724798/2199023255552 
-2589357978419197/1099511627776 7763270828032003/1099511627776 -2620851958579195/1099511627776 7783521766604802/1099511627776 
5357270833561607/2199023255552 12532774128844808/2199023255552 5381003044454407/2199023255552 12544794165248000/2199023255552 
-7847049533849603/1099511627776 -5870460285747201/1099511627776 -7830903141171203/1099511627776 -5848468291584003/1099511627776 
8370421497855989/4398046511104 21064418800435204/4398046511104 8043708704358411/4398046511104 21071456842547208/4398046511104 
37027745208729624/4398046511104 8015205053235183/4398046511104 18447250279628796/2199023255552 3980324870553605/2199023255552 
19288459889868808/2199023255552 5818943327436797/2199023255552 19315308468633608/2199023255552 5810762756915191/2199023255552 
14778410362470434/1099511627776 -7274711587225597/1099511627776 7378527322111993/549755813888 -3602652961177602/549755813888 
7582338303394553/2199023255552 2377558502504478/2199023255552 15094499285363374/4398046511104 4644109242026421/4398046511104 
9731629173964796/1099511627776 -7262127836364795/1099511627776 4877463008051199/549755813888 -3650249503539201/549755813888 
-6052970810572813/4398046511104 7250107799961582/4398046511104 -3095284783513595/2199023255552 3680568868863992/2199023255552 
-6610809887129588/549755813888 3975585726463999/549755813888 -3304591038873588/274877906944 1976359819673601/274877906944 
-20679242442342400/2199023255552 4014783594495995/2199023255552 -20578731819008012/2199023255552 4038761172172797/2199023255552 
8196789895167987/4398046511104 17554969146163182/4398046511104 8166548963327983/4398046511104 17488257902182402/4398046511104 
-5503414226124805/1099511627776 7080492662783999/1099511627776 -5479852723404803/1099511627776 7086852066508799/1099511627776 
2329584424898341/549755813888 2040915929772826/549755813888 4680741520795626/1099511627776 4085754163363647/1099511627776 
6834036618035205/4398046511104 4443964493004797/4398046511104 6758554664960013/4398046511104 4569309170892786/4398046511104 
-7780526194688001/1099511627776 4571696988159996/1099511627776 -7788632945459201/1099511627776 4569727762431997/1099511627776 
-6729570766028800/1099511627776 5064629210316801/1099511627776 -6726472433663997/1099511627776 5096056291327996/1099511627776 
16598221560217606/2199023255552 7063996465152003/2199023255552 16548332830719996/2199023255552 7044173345587199/2199023255552 
-78298186619289568/17592186044416 -4824252809216003/17592186044416 -39113247109939240/8796093022208 -2596503604428799/8796093022208 
1176670778163197/68719476736 -309639380992000/68719476736 9406479178137582/549755813888 -2489251266559999/549755813888 
26849746459033492/2199023255552 8222793741107207/2199023255552 26885528905318400/2199023255552 8220066604646395/2199023255552 
-12518938797670420/1099511627776 3117909069004801/1099511627776 -25038875839692820/2199023255552 6253992476672003/2199023255552 
70847901466624040/8796093022208 5265593414451203/8796093022208 17685824720076810/2199023255552 1335902076927999/2199023255552 
5891126040985589/2199023255552 12227765180825606/2199023255552 5882650610892799/2199023255552 12212508819456010/2199023255552 
5546724189798397/1099511627776 -7363577144934397/1099511627776 2760308162559998/549755813888 -3673630231756801/549755813888 
15353966179123220/1099511627776 4200729254297599/1099511627776 30722025219686332/2199023255552 8451914307993595/2199023255552 
8100593312541667/2199023255552 9099459907476614/2199023255552 8144718775417095/2199023255552 9079603449182666/2199023255552 
2516764852223995/1099511627776 4626793784934400/1099511627776 4967568402022395/2199023255552 9282877233561608/2199023255552 
-72286936970035216/8796093022208 7334359623270401/8796093022208 -36261992805171192/4398046511104 3667111025049601/4398046511104 
2620866428927999/1099511627776 4478326328524805/1099511627776 2629231339110400/1099511627776 4469185681817601/1099511627776 
9730267702886420/4398046511104 5758102011903993/4398046511104 9667657649356788/4398046511104 5637540518297605/4398046511104 
5814908826419202/1099511627776 4586135879680003/1099511627776 5801346125004796/1099511627776 4593189021286397/1099511627776 
7812404582809595/1099511627776 4552003053158402/1099511627776 7820902242713599/1099511627776 4541077310668799/1099511627776 
11616692836761596/1099511627776 8517488895590401/1099511627776 11618912462438430/1099511627776 8504314586726399/1099511627776 
2762364000665597/1099511627776 -2843799977984002/1099511627776 5477927537868805/2199023255552 -5693462754099193/2199023255552 
5288750586265599/549755813888 2368234481254399/549755813888 10600639469977600/1099511627776 4714731143168003/1099511627776 
13278497891942390/1099511627776 5786854385254397/1099511627776 13250933764915228/1099511627776 5788162588671999/1099511627776 
-5911165167206404/1099511627776 -3006331564851197/1099511627776 -5997952447283201/1099511627776 -3043143293337603/1099511627776 
-20620200/2048 16015125/2048 -11101133183385552/1099511627776 8607619455385599/1099511627776 
-16910556279603210/2199023255552 8464849541529609/2199023255552 -16943223196876794/2199023255552 8460933739315195/2199023255552 
19369955216588792/1099511627776 7138098911641599/1099511627776 19390945191526400/1099511627776 7113279537151999/1099511627776 
55100259591782552/4398046511104 -3850707455180799/4398046511104 110385189355520352/8796093022208 -7639517888512005/8796093022208 
7823047209779209/2199023255552 -4895790858240003/2199023255552 7839946899455991/2199023255552 -4883177747251189/2199023255552 
1200422702284799/2199023255552 13321928232140810/2199023255552 1160894323097601/2199023255552 13327986484838402/2199023255552 
-16018729808691180/1099511627776 6655637349990399/1099511627776 -16030299376844780/1099511627776 6671771579187199/1099511627776 
-73007947893964752/8796093022208 8987152796876797/8796093022208 -72883554903654400/8796093022208 8859610723123231/8796093022208 
-4578847857049603/549755813888 1632980120371200/549755813888 -18401980317696000/2199023255552 6611433999564793/2199023255552 
21610716830105584/4398046511104 -5524575328665603/4398046511104 21611339264819208/4398046511104 -5479850626252817/4398046511104 
-4257754172620805/274877906944 1954223541452800/274877906944 -4240201429811193/274877906944 1951911641088000/274877906944 
-9636760728371198/1099511627776 2034751451955203/1099511627776 -4819897863372801/549755813888 1011431768064002/549755813888 
6714533347327999/1099511627776 5574124319539199/1099511627776 6792536077107201/1099511627776 5594472565964795/1099511627776 
6711203069951995/549755813888 -1868311612620802/549755813888 26815762530304108/2199023255552 -7464912368435205/2199023255552 
7574272973209605/1099511627776 -7811298964275204/1099511627776 7514199634739205/1099511627776 -7814360806195197/1099511627776 
-10457313391411202/1099511627776 8741364065894401/1099511627776 -5255030479257601/549755813888 4383477176729600/549755813888 
-12698267104051166/1099511627776 3291632946380799/1099511627776 -25423441507123308/2199023255552 6647539407257601/2199023255552 
7445118608998402/1099511627776 4323010831974405/1099511627776 7457562270105595/1099511627776 4309011922944005/1099511627776 
-2467552244531199/274877906944 1764922857881600/274877906944 -9872608120012798/1099511627776 7042347145625603/1099511627776 
-9096511723929604/1099511627776 8213454703820797/1099511627776 -9111662388838402/1099511627776 8246449615667201/1099511627776 
-8111648040550396/1099511627776 -5093660504883201/1099511627776 -8113469207347202/1099511627776 -5109356429311999/1099511627776 
-138616995892428720/17592186044416 -8784169454796799/17592186044416 -138808618542694400/17592186044416 -8841222055526397/17592186044416 
-17746695815168006/1099511627776 6142040630886395/1099511627776 -8857358381875221/549755813888 3072916350566402/549755813888 
-3368487695155198/549755813888 3140262192742399/549755813888 -6723179905024003/1099511627776 6269302105702405/1099511627776 
8052558685798401/2199023255552 9959056080896006/2199023255552 8041999106047999/2199023255552 9934847397068800/2199023255552 
-3370872156979211/274877906944 1921619119308801/274877906944 -13427499702681618/1099511627776 7685746668339203/1099511627776 
-13708514715238392/2199023255552 -4836333243596811/2199023255552 -3430825748070398/549755813888 -1217135955148799/549755813888 
6251471943187408/2199023255552 6846481054554271/2199023255552 6405347887570360/2199023255552 6778352773835105/2199023255552 
7401622134021029/2199023255552 7663788466655290/2199023255552 7409447800431295/2199023255552 7690200090789894/2199023255552 
-19017309880320000/1099511627776 7145165475020805/1099511627776 -19026690021785552/1099511627776 7137203008307197/1099511627776 
4288525264486404/1099511627776 5194767977676801/1099511627776 8447194038271989/2199023255552 10372227740467190/2199023255552 
5176841522380803/2199023255552 12971898463846392/2199023255552 5203030337126407/2199023255552 12979177259008008/2199023255552 
8139899194572803/1099511627776 3774169795788802/1099511627776 8156553936895999/1099511627776 3774169795788802/1099511627776 
4757825519615993/274877906944 -1206094030438401/274877906944 9503679656755182/549755813888 -2413942957670399/549755813888 
-8648499658751998/1099511627776 4794328127897601/1099511627776 -8602504082227205/1099511627776 4798839940710398/1099511627776 
32160409523304099268379746150673922332851867/9203007783733378128307749474864877010944 27016524901990224606843035934025964917485442/9203007783733378128307749474864877010944 7689675370984809/2199023255552 6502929762823282/2199023255552 
9572471275520018/549755813888 -1983936410419201/549755813888 38261179285504000/2199023255552 -7919550595071995/2199023255552 
-18296580813619228/1099511627776 5906994351308801/1099511627776 -18300181204172812/1099511627776 5892271085977605/1099511627776 
7786910764236797/1099511627776 4555644967321600/1099511627776 7807548417638395/1099511627776 4562928795647995/1099511627776 
8054528330956793/549755813888 3260212785971201/549755813888 16081196417023972/1099511627776 6516590300364799/1099511627776 
-8626989590118397/8796093022208 7419462890291201/8796093022208 -8417935412428801/8796093022208 7437475748249600/8796093022208 
-4244016149299201/17592186044416 14122171236352004/17592186044416 -8167144554496011/35184372088832 29185547645747212/35184372088832 
-10805311438847998/1099511627776 7622346407935997/1099511627776 -10786284398182400/1099511627776 7631517673062401/1099511627776 
1331413123072001/274877906944 1071711780864000/274877906944 10660675059712000/2199023255552 8595712665190395/2199023255552 
-3814364230451201/549755813888 -2865652301824001/549755813888 -7587114254335997/1099511627776 -5741998820556797/1099511627776 
-7198826561535979/4398046511104 9787840397311982/4398046511104 -3551173332172804/2199023255552 4949920448511999/2199023255552 
-4108170611916802/1099511627776 7293763793715203/1099511627776 -4160352367411205/1099511627776 7302537438822398/1099511627776 
17563755374182400/17592186044416 6808435844710391/17592186044416 4334080439091199/4398046511104 1774653014016002/4398046511104 
-8045210265190396/1099511627776 -5432675192012803/1099511627776 -8058588417228799/1099511627776 -5447109469798401/1099511627776 
16354758990233594/2199023255552 8499532241305595/2199023255552 2041525462630400/274877906944 1060444307456001/274877906944 
-44072370700288024/4398046511104 7509353535897609/4398046511104 -44215211917311888/4398046511104 7581739673190399/4398046511104 
-3200/1 -9000/1 -3300/1 -9000/1 
