12834
8849800/20833 8347800/20833 26545600/62501 26206600/62501 
35130600/62501 7509600/62501 34119400/62499 7513400/62499 
50003/125 -56750/125 400/1 -460/1 
16599400/62499 12583400/62499 16595600/62501 13666600/62501 
18925600/62501 18824600/62501 18924400/62499 18675400/62499 
25013/125 -54250/125 5002/25 -11000/25 
33935600/62501 21264600/62501 32814400/62499 21268400/62499 
33889498/62499 2489900/62499 33884798/62499 3664900/62499 
5909800/20833 10806800/20833 17770600/62501 32421600/62501 
20235600/62501 33819600/62501 6744800/20833 11226800/20833 
11605600/62501 11146600/62501 4214800/20833 3716800/20833 
1446100/62501 32356302/62501 1445900/62499 32393698/62499 
-400/1 496/1 176100/62501 31101202/62501 
33924400/62499 18735400/62499 33920600/62501 17514600/62501 
-57402/125 75000/125 -57352/125 75000/125 
-29925498/62501 50246004/62501 -29950498/62501 43996004/62501 
-476/1 500/1 -470/1 500/1 
30124400/62499 6220400/62499 30120402/62501 4980100/62501 
31360202/62501 2425100/62501 31355402/62501 1225100/62501 
184900/62499 28898798/62499 181100/62501 29851202/62501 
7149800/20833 8311800/20833 21445600/62501 23814600/62501 
1399918/62499 43889198/62499 22/1 802/1 
19089400/62499 15073400/62499 19085600/62501 16176600/62501 
-400/1 96/1 100/1 98/1 
10260600/62501 34891600/62501 3419800/20833 11702800/20833 
-470/1 -410/1 -466/1 -410/1 
8890600/62501 10114600/62501 2619800/20833 3372800/20833 
3794800/20833 2881800/20833 11380600/62501 7604600/62501 
7154800/20833 9561800/20833 21535600/62501 28686600/62501 
25375600/62501 6201600/62501 26374400/62499 6205400/62499 
10234400/62499 33640400/62499 10265600/62501 33641600/62501 
26394400/62499 11205400/62499 26390600/62501 10044600/62501 
3975084/62501 31370402/62501 3975064/62501 31375402/62501 
3994900/62499 32633498/62499 1323300/20833 10877866/20833 
21544400/62499 26313400/62499 21540600/62501 27436600/62501 
7835600/62501 16131600/62501 7834400/62499 16368400/62499 
2684900/62499 28888798/62499 2681100/62501 29861202/62501 
11714800/20833 3746800/20833 35355600/62501 11241600/62501 
31375302/62501 1200020/62501 31370302/62501 1200040/62501 
100/1 398/1 2149800/20833 8291800/20833 
8869800/20833 3347800/20833 26390600/62501 10044600/62501 
10939800/20833 6672800/20833 32680600/62501 20019600/62501 
7714400/62499 28630400/62499 7785600/62501 28631600/62501 
-10366834/20833 20916300/20833 -498/1 1100/1 
1469900/62499 26393698/62499 1466100/62501 27356302/62501 
2002/5 -2000/5 10098/25 -10000/25 
10949800/20833 4172800/20833 32845600/62501 13731600/62501 
27825600/62501 18711600/62501 9274800/20833 6262800/20833 
-10000/25 -12349/25 -400/1 -480/1 
-55000/125 25008/125 -10900/25 5002/25 
-400/1 224/1 -400/1 236/1 
31394698/62499 -50080/62499 10464866/20833 -8360/20833 
43985904/62501 -26425482/62501 43985804/62501 -26400482/62501 
7506/25 -10000/25 7508/25 -10000/25 
20200600/62501 25069600/62501 20199400/62499 24930400/62499 
18875202/62501 -25000/62501 18870202/62501 -24980/62501 
21450600/62501 25064600/62501 7149800/20833 8311800/20833 
11625600/62501 6146600/62501 186/1 100/1 
24040600/62501 27446600/62501 25209400/62499 27450400/62499 
-9100174/20833 16746300/20833 -27375478/62501 50240804/62501 
20877966/20833 -33346/20833 62628898/62499 -100018/62499 
-410/1 400/1 -2050/5 1982/5 
5226100/62501 18621202/62501 54700/627 186814/627 
34139798/62499 2413900/62499 34139698/62499 2438900/62499 
27774400/62499 31288400/62499 27770600/62501 32461600/62501 
19134698/62499 3748900/62499 19129798/62499 4973900/62499 
50243900/62499 -28800518/62499 16746300/20833 -9600166/20833 
600/1 500/1 12174800/20833 10417800/20833 
-56250/125 25003/125 -55000/125 25008/125 
-29875498/62501 56495904/62501 -29900498/62501 50245904/62501 
-9158508/20833 6252932/20833 -10900/25 7504/25 
2649938/62499 56378998/62499 883306/20833 18794666/20833 
-11400/25 5004/25 -456/1 204/1 
3950084/62501 31370302/62501 3975084/62501 31370402/62501 
5204900/62499 36378598/62499 5200084/62501 37625402/62501 
10417932/20833 -9641840/20833 31253696/62499 -28950520/62499 
-53750/125 37503/125 -430/1 300/1 
27769400/62499 32538400/62499 27765600/62501 33711600/62501 
174938/62499 50138998/62499 58306/20833 16714666/20833 
42/1 802/1 1449958/62499 50128898/62499 
25164400/62499 16200400/62499 25160600/62501 15049600/62501 
31360402/62501 1225080/62501 31360302/62501 1200080/62501 
-26175458/62501 43990904/62501 -26175478/62501 43985904/62501 
-59952/125 37500/125 -428300/893 267172/893 
12133166/20833 -6700/20833 2912/5 0/5 
464/1 -400/1 468/1 -400/1 
25369400/62499 7548400/62499 25130600/62501 7549600/62501 
199958/62499 43883998/62499 174958/62499 43884098/62499 
480300/20833 11214566/20833 1415900/62499 33643798/62499 
33850302/62501 -59900/62501 10966566/20833 -18700/20833 
-54802/125 75000/125 -436/1 600/1 
7174800/20833 10437800/20833 21475600/62501 31314600/62501 
30334400/62499 16278400/62499 30330600/62501 17471600/62501 
31639598/62499 2473900/62499 31639498/62499 2498900/62499 
62518/125 -58000/125 62513/125 -59250/125 
1420900/62499 32393798/62499 245900/62499 32398498/62499 
33890600/62501 10014600/62501 32859400/62499 10018400/62499 
35120302/62501 4935100/62501 35120202/62501 4910100/62501 
-416/1 -400/1 -10400/25 2416/25 
27620302/62501 4965100/62501 27620202/62501 4940100/62501 
5206100/62501 23621202/62501 5204900/62499 23878798/62499 
7705600/62501 26369600/62501 7704400/62499 26130400/62499 
12164800/20833 12081800/20833 36490600/62501 35004600/62501 
4649800/20833 8301800/20833 13945600/62501 23844600/62501 
420/1 -400/1 428/1 -400/1 
37615502/62501 -24960/62501 37610502/62501 -24940/62501 
4219800/20833 4966800/20833 12840600/62501 14901600/62501 
36430600/62501 20004600/62501 35319400/62499 20008400/62499 
27804400/62499 23788400/62499 27800600/62501 24961600/62501 
1425044/62501 31370202/62501 1425024/62501 31375202/62501 
2520/5 -2414/5 75000/125 -60302/125 
4/1 402/1 249916/62499 25144598/62499 
30185600/62501 21279600/62501 29064400/62499 21283400/62499 
35349400/62499 12508400/62499 35345600/62501 13741600/62501 
31464400/62499 28725400/62499 31460600/62501 27524600/62501 
-56250/125 25013/125 -56250/125 25003/125 
12546/25 0/25 31365402/62501 -24960/62501 
23955600/62501 26304600/62501 7984800/20833 8731800/20833 
7574800/20833 10396800/20833 22775600/62501 31191600/62501 
1474916/62499 37639498/62499 1449958/62499 43878998/62499 
6534400/62499 28873400/62499 6530600/62501 29876600/62501 
-62452/125 62500/125 -62402/125 62500/125 
3989900/62499 27633598/62499 3964900/62499 27633698/62499 
31365402/62501 -24960/62501 31365302/62501 -49960/62501 
21495600/62501 36314600/62501 7164800/20833 12061800/20833 
-28675498/62501 43990904/62501 -28700498/62501 43991004/62501 
33850202/62501 -84900/62501 32899798/62499 -81100/62499 
43998600/62501 -30849502/62501 43996004/62501 -30200502/62501 
6600600/62501 12376600/62501 2199800/20833 4207800/20833 
32865600/62501 8731600/62501 10954800/20833 2922800/20833 
-410/1 -510/1 -400/1 -500/1 
2706100/62501 36111402/62501 2731100/62501 36111502/62501 
22810600/62501 22441600/62501 22809400/62499 22558400/62499 
7569800/20833 9146800/20833 22790600/62501 27441600/62501 
16610600/62501 9916600/62501 5879800/20833 3306800/20833 
30295600/62501 26221600/62501 30294400/62499 26278400/62499 
75000/125 -60402/125 3020/5 -2416/5 
26580600/62501 17456600/62501 27669400/62499 17460400/62499 
10149400/62499 12390400/62499 10350600/62501 12391600/62501 
-456/1 204/1 -460/1 204/1 
7660600/62501 15119600/62501 6589400/62499 15123400/62499 
35120402/62501 4960100/62501 34129598/62499 4963900/62499 
25003/125 -61750/125 200/1 -500/1 
3935900/62499 34883698/62499 3934900/62499 35133698/62499 
488300/20833 11297866/20833 1439900/62499 33893698/62499 
9015600/62501 33636600/62501 3004800/20833 11287800/20833 
6594400/62499 13873400/62499 6590600/62501 14876600/62501 
62500/125 -62902/125 75000/125 -62852/125 
30105402/62501 1230100/62501 9714866/20833 411300/20833 
20140600/62501 10069600/62501 20139400/62499 9930400/62499 
6369800/20833 3357800/20833 19105600/62501 11176600/62501 
32679400/62499 19980400/62499 32675600/62501 18769600/62501 
20170600/62501 17569600/62501 20169400/62499 17430400/62499 
4704800/20833 2947800/20833 13885600/62501 8844600/62501 
31365302/62501 -49960/62501 31365202/62501 -74960/62501 
10320600/62501 19891600/62501 3439800/20833 6702800/20833 
34144498/62499 1238900/62499 34139798/62499 2413900/62499 
16624400/62499 6333400/62499 16620600/62501 7416600/62501 
-500/1 200/1 -496/1 200/1 
204/1 -494/1 300/1 -494/1 
20330600/62501 17431600/62501 20329400/62499 17568400/62499 
37505600/62501 -26250440/62501 600/1 -420/1 
-440/1 500/1 -54952/125 62500/125 
35100302/62501 -64900/62501 35100202/62501 -89900/62501 
26644798/62499 1193900/62499 8881566/20833 406300/20833 
504/1 -410/1 508/1 -400/1 
35230600/62501 32509600/62501 11339800/20833 10837800/20833 
33935600/62501 21264600/62501 33934400/62499 21235400/62499 
30389698/62499 2453900/62499 30110302/62501 2455100/62501 
5225100/62501 25121302/62501 52700/627 252014/627 
36379798/62499 4904900/62499 36370202/62501 4905100/62501 
-400/1 156/1 100/1 158/1 
35305600/62501 23741600/62501 35304400/62499 23758400/62499 
13929400/62499 19905400/62499 14070600/62501 19906600/62501 
21370302/62501 4990100/62501 21370202/62501 4965100/62501 
11794866/20833 1236300/20833 35134598/62499 3709900/62499 
12844400/62499 13848400/62499 12840600/62501 14901600/62501 
4634800/20833 4551800/20833 14095600/62501 13656600/62501 
-57352/125 75000/125 -57302/125 75000/125 
-26150478/62501 50235904/62501 -26175478/62501 50236004/62501 
-430/1 304/1 -436/1 304/1 
2932/5 0/5 36644798/62499 1153900/62499 
-508/1 1100/1 -510/1 600/1 
-330428/753 376612/753 -10900/25 12504/25 
35359400/62499 10008400/62499 35140600/62501 10009600/62501 
33904400/62499 13735400/62499 34095600/62501 13736600/62501 
62500/125 -57902/125 62500/125 -57952/125 
29125600/62501 6216600/62501 466/1 100/1 
12819400/62499 20098400/62499 12680600/62501 20099600/62501 
23949400/62499 24945400/62499 24050600/62501 24946600/62501 
-430/1 300/1 -420/1 300/1 
28870302/62501 4960100/62501 28870202/62501 4935100/62501 
16404400/62499 13665400/62499 16400600/62501 12584600/62501 
199916/62499 31394698/62499 199900/62499 31398698/62499 
199978/62499 43878998/62499 199958/62499 43883998/62499 
11595600/62501 13646600/62501 3864800/20833 4617800/20833 
21585600/62501 16186600/62501 7194800/20833 5437800/20833 
25115202/62501 -49960/62501 10006/25 -10000/25 
-476/1 104/1 -11900/25 4976/25 
6359800/20833 5857800/20833 18920600/62501 17574600/62501 
20319400/62499 20068400/62499 20180600/62501 20069600/62501 
6555600/62501 23626600/62501 2564800/20833 7876800/20833 
31384798/62499 2424920/62499 31375202/62501 2425040/62501 
8449800/20833 4182800/20833 25150600/62501 12549600/62501 
13959400/62499 27405400/62499 14040600/62501 27406600/62501 
35384698/62499 3683900/62499 11794866/20833 1236300/20833 
31253696/62499 -27700540/62499 31258696/62499 -27700520/62499 
100/1 322/1 1748300/20833 6709566/20833 
17755600/62501 36171600/62501 18994400/62499 36175400/62499 
27714400/62499 28710400/62499 27710600/62501 27539600/62501 
304/1 -434/1 400/1 -434/1 
16509400/62499 35083400/62499 16505600/62501 36166600/62501 
1475100/62501 25106302/62501 1475084/62501 25110302/62501 
1308306/20833 14626366/20833 3899918/62499 50129098/62499 
-400/1 516/1 -400/1 520/1 
8399800/20833 8316800/20833 25300600/62501 24951600/62501 
26479400/62499 32455400/62499 26475600/62501 31294600/62501 
84/1 402/1 5249900/62499 25128598/62499 
23895600/62501 11304600/62501 22854400/62499 11308400/62499 
31545600/62501 26226600/62501 10514800/20833 8757800/20833 
304/1 -440/1 304/1 -434/1 
1740300/20833 10792866/20833 5195900/62499 32378698/62499 
19020600/62501 32426600/62501 6339800/20833 10857800/20833 
62743600/62501 -28274482/62501 62741004/62501 -27625482/62501 
702/1 18/1 37639798/62499 1149920/62499 
2746100/62501 32361502/62501 915300/20833 10796166/20833 
37508596/62499 -26450540/62499 12504532/20833 -8816840/20833 
181100/62501 36101302/62501 60300/20833 12049566/20833 
50129098/62499 1149962/62499 43889098/62499 1174922/62499 
37615202/62501 1150060/62501 37610202/62501 1150080/62501 
32770600/62501 32481600/62501 32769400/62499 32518400/62499 
300/1 -500/1 105100/275 -138404/275 
-26175478/62501 43985904/62501 -26175498/62501 43980904/62501 
27675600/62501 18789600/62501 9224800/20833 6236800/20833 
11294800/20833 2911800/20833 34115600/62501 8736600/62501 
6504400/62499 36373400/62499 6495600/62501 36374600/62501 
30160600/62501 15029600/62501 30159400/62499 14970400/62499 
37505600/62501 -28750480/62501 37503796/62499 -28900520/62499 
19039400/62499 27573400/62499 19035600/62501 28676600/62501 
-27250496/62501 37515600/62501 -8958168/20833 12505300/20833 
10489800/20833 9991800/20833 31530600/62501 29976600/62501 
23855202/62501 1205100/62501 1908/5 0/5 
-29800522/62499 50248900/62499 -9941834/20833 18831300/20833 
22659400/62499 14940400/62499 22840600/62501 14941600/62501 
-27450544/62499 25003796/62499 -54902/125 50000/125 
20280600/62501 29931600/62501 21469400/62499 29935400/62499 
36604400/62499 11253400/62499 36395600/62501 11254600/62501 
75000/125 -52852/125 12501232/20833 -8808520/20833 
893300/20833 10046266/20833 493300/20833 10047866/20833 
19005600/62501 36176600/62501 6334800/20833 12107800/20833 
23870302/62501 4980100/62501 7626566/20833 1661300/20833 
32629598/62499 4969900/62499 32620402/62501 4970100/62501 
4679800/20833 9197800/20833 14035600/62501 28656600/62501 
5219900/62499 20128798/62499 3994900/62499 20133698/62499 
15129400/62499 7410400/62499 15125600/62501 6339600/62501 
50240804/62501 -28875502/62501 16746300/20833 -9600166/20833 
16540600/62501 27416600/62501 16539400/62499 27583400/62499 
75000/125 -60302/125 3020/5 -2412/5 
7124800/20833 2061800/20833 21370302/62501 4990100/62501 
26419400/62499 17455400/62499 26415600/62501 16294600/62501 
16590600/62501 14916600/62501 17659400/62499 14920400/62499 
-430/1 500/1 -420/1 500/1 
14060600/62501 22406600/62501 14059400/62499 22593400/62499 
100/1 -420/1 100/1 -422/1 
11460600/62501 27604600/62501 3819800/20833 9131800/20833 
1489900/62499 27643598/62499 1486100/62501 28606402/62501 
11550600/62501 24896600/62501 12699400/62499 24900400/62499 
31414400/62499 16225400/62499 31410600/62501 15024600/62501 
2612/5 0/5 32644798/62499 1169900/62499 
600/1 200/1 12199800/20833 4167800/20833 
15289400/62499 27588400/62499 15210600/62501 27589600/62501 
36370302/62501 4930100/62501 35379698/62499 4933900/62499 
16444400/62499 23665400/62499 16440600/62501 22584600/62501 
225100/62501 31351402/62501 225084/62501 31355402/62501 
27740600/62501 35039600/62501 27739400/62499 34960400/62499 
32659400/62499 14980400/62499 32655600/62501 13769600/62501 
5133266/20833 -3700/20833 15100202/62501 -9900/62501 
5159900/62499 35128798/62499 1328300/20833 11711166/20833 
29010600/62501 34966600/62501 9669800/20833 11677800/20833 
43879198/62499 1149962/62499 12546566/20833 391640/20833 
5196100/62501 26121202/62501 5194900/62499 26378798/62499 
-450/1 98/1 -5725/13 1269/13 
-27400498/62501 50235904/62501 -27425498/62501 50236004/62501 
7744400/62499 36130400/62499 7740600/62501 35119600/62501 
-400/1 424/1 -400/1 416/1 
7865600/62501 8631600/62501 7864400/62499 8868400/62499 
12730600/62501 32599600/62501 12729400/62499 32400400/62499 
3989900/62499 27633598/62499 3986100/62501 28616402/62501 
-27400478/62501 50240904/62501 -27425478/62501 50241004/62501 
14149798/62499 -6100/62499 1132/5 0/5 
16465600/62501 28834600/62501 16464400/62499 28665400/62499 
2/1 802/1 -26050502/62499 50228900/62499 
50246004/62501 -30175502/62501 56496004/62501 -30150502/62501 
376612/753 -348500/753 31258696/62499 -28950500/62499 
25384598/62499 3748900/62499 25129598/62499 3749920/62499 
1100/1 -442/1 20916300/20833 -9200186/20833 
11545600/62501 26146600/62501 11544400/62499 26353400/62499 
32700600/62501 25019600/62501 10899800/20833 8326800/20833 
-53750/125 50033/125 -52500/125 50038/125 
-456/1 504/1 -456/1 600/1 
32884498/62499 3743900/62499 32879798/62499 4918900/62499 
10125600/62501 6359600/62501 9124400/62499 6363400/62499 
10310600/62501 22391600/62501 10309400/62499 22608400/62499 
-50000/125 50038/125 200024/62501 25120202/62501 
10219400/62499 29890400/62499 10215600/62501 28859600/62501 
2502/5 -2000/5 12508/25 -10000/25 
20394698/62499 1243900/62499 20389798/62499 2468900/62499 
-28700504/62499 31258696/62499 -345488/753 376612/753 
171100/62501 32351202/62501 196100/62501 32351302/62501 
26615600/62501 8706600/62501 27634400/62499 8710400/62499 
-28575502/62499 56488900/62499 -9525174/20833 18831300/20833 
6445600/62501 23874600/62501 100/1 382/1 
26559400/62499 22543400/62499 26555600/62501 23706600/62501 
10524800/20833 6257800/20833 31570600/62501 19976600/62501 
24030600/62501 29946600/62501 8009800/20833 10017800/20833 
211100/62501 22351202/62501 236100/62501 22351302/62501 
26450600/62501 25044600/62501 25299400/62499 25048400/62499 
9244800/20833 11236800/20833 27730600/62501 32539600/62501 
32664400/62499 16230400/62499 32835600/62501 16231600/62501 
20360600/62501 9931600/62501 20359400/62499 10068400/62499 
522/1 100/1 506/1 100/1 
27815600/62501 21211600/62501 9644800/20833 7071800/20833 
7184800/20833 7937800/20833 21550600/62501 24936600/62501 
-51250/125 50013/125 -50000/125 50018/125 
17690600/62501 22579600/62501 5519800/20833 7527800/20833 
30279400/62499 30028400/62499 30275600/62501 31221600/62501 
3034800/20833 3787800/20833 8895600/62501 11364600/62501 
8434800/20833 7932800/20833 25300600/62501 24951600/62501 
5529800/20833 5027800/20833 16585600/62501 16166600/62501 
502/1 20/1 31375402/62501 1225020/62501 
10004/25 -10000/25 10003/25 -10250/25 
-26200544/62499 31258696/62499 -315368/753 376612/753 
30155600/62501 13779600/62501 29094400/62499 13783400/62499 
3975084/62501 31370402/62501 5175084/62501 31375202/62501 
31395600/62501 11274600/62501 10464800/20833 3741800/20833 
21625600/62501 6186600/62501 346/1 100/1 
8964400/62499 28635400/62499 9035600/62501 28636600/62501 
1303300/20833 11711266/20833 2734900/62499 35138498/62499 
211100/62501 28601302/62501 236100/62501 28601402/62501 
15169400/62499 17410400/62499 15165600/62501 16339600/62501 
12899798/62499 -1100/62499 1032/5 0/5 
584/1 -400/1 580/1 -400/1 
35124400/62499 6240400/62499 35120502/62501 4985100/62501 
10295600/62501 26141600/62501 10294400/62499 26358400/62499 
20350600/62501 12431600/62501 21399400/62499 12435400/62499 
4284800/20833 3782800/20833 12850600/62501 12401600/62501 
11349800/20833 8337800/20833 33950600/62501 25014600/62501 
5200100/62501 31371302/62501 5200084/62501 31375302/62501 
12830600/62501 17401600/62501 12829400/62499 17598400/62499 
10002/25 -10000/25 10004/25 -10000/25 
446/1 100/1 442/1 100/1 
35139598/62499 2459900/62499 35110402/62501 2460100/62501 
50238600/62501 -28324502/62501 50243600/62501 -28324482/62501 
12829400/62499 17598400/62499 12825600/62501 18651600/62501 
502/1 0/1 12548/25 0/25 
34110600/62501 9986600/62501 35139400/62499 9990400/62499 
-3120610/6251 3122804/6251 -2498/5 2020/5 
11485600/62501 33854600/62501 10264400/62499 33858400/62499 
-28650524/62499 37503796/62499 -28500476/62501 37505600/62501 
16549400/62499 25083400/62499 16450600/62501 25084600/62501 
19084400/62499 16323400/62499 18915600/62501 16324600/62501 
21355202/62501 1215100/62501 6798266/20833 406300/20833 
17680600/62501 20079600/62501 17679400/62499 19920400/62499 
21560600/62501 22436600/62501 22689400/62499 22440400/62499 
20125600/62501 6319600/62501 6374800/20833 2107800/20833 
25115202/62501 -49960/62501 25110202/62501 -49940/62501 
11424400/62499 18645400/62499 11420600/62501 17604600/62501 
42/1 1102/1 -42258/101 111488/101 
50246004/62501 -28925482/62501 56491004/62501 -28900502/62501 
9080600/62501 17386600/62501 3389800/20833 5796800/20833 
600/1 400/1 36549400/62499 25003400/62499 
564/1 -400/1 560/1 -400/1 
16395600/62501 11334600/62501 5464800/20833 3721800/20833 
62743900/62499 -26350558/62499 62638898/62499 -100058/62499 
33994400/62499 36235400/62499 33990600/62501 35014600/62501 
211100/62501 22351202/62501 209900/62499 22648798/62499 
-26075522/62499 56483900/62499 -26125478/62501 56485904/62501 
-28700524/62499 31253696/62499 -57402/125 62500/125 
22889698/62499 2483900/62499 7628266/20833 1236300/20833 
12541566/20833 1641640/20833 37625302/62501 4925080/62501 
10543266/20833 1641300/20833 31629698/62499 4948900/62499 
27649400/62499 12460400/62499 27645600/62501 11289600/62501 
8875600/62501 6364600/62501 142/1 100/1 
6605600/62501 11126600/62501 6604400/62499 11373400/62499 
34009400/62499 35013400/62499 34005600/62501 36236600/62501 
-400/1 456/1 186100/62501 28601202/62501 
1748300/20833 10876166/20833 5219900/62499 32628598/62499 
-430/1 -400/1 -436/1 -400/1 
7764400/62499 33868400/62499 7735600/62501 33869600/62501 
31420600/62501 17524600/62501 10109800/20833 5842800/20833 
43878898/62499 2474942/62499 702/1 58/1 
12629798/62499 3749920/62499 202/1 60/1 
-27275522/62499 43988900/62499 -27375478/62501 43990704/62501 
10944800/20833 5422800/20833 32830600/62501 17481600/62501 
3974900/62499 31383598/62499 3949900/62499 31383698/62499 
8899400/62499 12385400/62499 8895600/62501 11364600/62501 
-400/1 400/1 -50000/125 50008/125 
78300/20833 9632866/20833 231100/62501 29851402/62501 
37629698/62499 3674920/62499 37625302/62501 3675060/62501 
62741004/62501 -27625482/62501 62746004/62501 -27625462/62501 
11364800/20833 4587800/20833 34090600/62501 14986600/62501 
10125600/62501 6359600/62501 162/1 100/1 
25105202/62501 1200100/62501 8048266/20833 401300/20833 
224900/62499 31398598/62499 221100/62501 32351402/62501 
2741100/62501 14861202/62501 913300/20833 5046266/20833 
25125302/62501 -25000/62501 25125202/62501 -50000/62501 
9674800/20833 10427800/20833 28975600/62501 31284600/62501 
33889598/62499 2464900/62499 33860402/62501 2465100/62501 
466646/20833 18794666/20833 174938/62499 56388898/62499 
-28500496/62501 37510600/62501 -28124504/62499 37510900/62499 
30124400/62499 6220400/62499 30375600/62501 6221600/62501 
-2748110/6251 3107904/6251 -440/1 404/1 
17830600/62501 17421600/62501 17829400/62499 17578400/62499 
37528/125 -55500/125 37523/125 -56750/125 
10209400/62499 27390400/62499 10205600/62501 26359600/62501 
-410/1 104/1 -416/1 104/1 
1425064/62501 31365202/62501 1425044/62501 31370202/62501 
50008/125 -58000/125 50003/125 -59250/125 
21410600/62501 15064600/62501 21409400/62499 14935400/62499 
2599800/20833 8372800/20833 7795600/62501 26131600/62501 
24064400/62499 21303400/62499 24060600/62501 22446600/62501 
7765600/62501 33631600/62501 2994800/20833 11211800/20833 
-2995610/6251 3117804/6251 -2398/5 2020/5 
35180600/62501 20009600/62501 35179400/62499 19990400/62499 
10330600/62501 17391600/62501 10329400/62499 17608400/62499 
8885600/62501 8864600/62501 7864400/62499 8868400/62499 
31253696/62499 -26450560/62499 31253596/62499 -26475560/62499 
10309400/62499 22608400/62499 10305600/62501 23641600/62501 
-27475544/62499 18753796/62499 -10900/25 7502/25 
300/1 -460/1 204/1 -460/1 
3994900/62499 32633498/62499 3991100/62501 33616502/62501 
25399798/62499 -51100/62499 8466566/20833 -8700/20833 
7546/25 0/25 7544/25 0/25 
22770600/62501 32441600/62501 23979400/62499 32445400/62499 
12189800/20833 6667800/20833 36565600/62501 21246600/62501 
1486100/62501 34856502/62501 495300/20833 11631166/20833 
-2050/5 482/5 -400/1 96/1 
3799800/20833 4131800/20833 11600600/62501 12396600/62501 
-2396/5 2520/5 -29950504/62499 31253696/62499 
31540600/62501 27476600/62501 32709400/62499 27480400/62499 
-11400/25 12446/25 -456/1 500/1 
37644398/62499 -80/62499 602/1 0/1 
73300/20833 10882866/20833 216100/62501 33601402/62501 
3944900/62499 26383798/62499 2744900/62499 26388598/62499 
15325600/62501 18661600/62501 15324400/62499 18838400/62499 
3936100/62501 34866302/62501 3961100/62501 34866402/62501 
37615202/62501 2400080/62501 12213266/20833 801300/20833 
13895600/62501 11344600/62501 4284800/20833 3782800/20833 
8974400/62499 31135400/62499 8970600/62501 30114600/62501 
3991100/62501 33616502/62501 5166100/62501 33621202/62501 
1436100/62501 28606202/62501 1461100/62501 28606302/62501 
31624400/62499 6273400/62499 31375600/62501 6274600/62501 
32800600/62501 24981600/62501 32799400/62499 25018400/62499 
-400/1 104/1 -400/1 116/1 
504/1 -440/1 12506/25 -11000/25 
8884400/62499 8635400/62499 8880600/62501 7614600/62501 
149938/62499 56388998/62499 -8691854/20833 18831300/20833 
16405600/62501 13834600/62501 16404400/62499 13665400/62499 
-10400/25 4916/25 -416/1 200/1 
5008/25 -10000/25 5007/25 -10250/25 
34014400/62499 33763400/62499 33985600/62501 33764600/62501 
14044400/62499 26343400/62499 13955600/62501 26344600/62501 
2584800/20833 12122800/20833 7745600/62501 36369600/62501 
21375600/62501 6314600/62501 20374400/62499 6318400/62499 
10175600/62501 18859600/62501 10174400/62499 18640400/62499 
5225100/62501 31371402/62501 52700/627 314714/627 
21475600/62501 31314600/62501 21474400/62499 31185400/62499 
36409400/62499 14995400/62499 36590600/62501 14996600/62501 
2690900/62499 33638698/62499 2665900/62499 33638798/62499 
35379698/62499 4933900/62499 35379598/62499 4958900/62499 
111488/101 -42662/101 111496/101 -42642/101 
15330600/62501 17411600/62501 16419400/62499 17415400/62499 
174938/62499 43889098/62499 58306/20833 14631366/20833 
282/1 100/1 266/1 100/1 
6495600/62501 36374600/62501 100/1 582/1 
111496/101 -48702/101 111488/101 -46702/101 
5241100/62501 21121302/62501 5239900/62499 21378698/62499 
2701100/62501 31111302/62501 2726100/62501 31111402/62501 
22714400/62499 28690400/62499 22785600/62501 28691600/62501 
-59852/125 62500/125 -476/1 500/1 
174938/62499 56388898/62499 149938/62499 56388998/62499 
17625600/62501 6329600/62501 282/1 100/1 
-53750/125 62533/125 -53750/125 62523/125 
75500/125 -59248/125 604/1 -464/1 
33855302/62501 1190100/62501 32894698/62499 1193900/62499 
10459866/20833 1241640/20833 31375402/62501 3725060/62501 
25008/125 -58000/125 25018/125 -58000/125 
404/1 -504/1 135100/275 -138504/275 
7501/25 -10250/25 300/1 -420/1 
33860202/62501 2415100/62501 33855502/62501 1240100/62501 
9120600/62501 7386600/62501 3039800/20833 2537800/20833 
1002/1 38/1 18794666/20833 799974/20833 
1308306/20833 14626366/20833 3899918/62499 43879198/62499 
3414800/20833 12046800/20833 10240600/62501 35109600/62501 
9099400/62499 12613400/62499 8900600/62501 12614600/62501 
16609400/62499 10083400/62499 16605600/62501 11166600/62501 
75000/125 -57802/125 37503796/62499 -28900520/62499 
225064/62501 18860202/62501 225044/62501 18865202/62501 
-500/1 200/1 -12400/25 4996/25 
-9550168/20833 12502932/20833 -28500496/62501 37510600/62501 
500/1 -474/1 62503/125 -59250/125 
25269400/62499 32548400/62499 25230600/62501 32549600/62501 
50139098/62499 -100058/62499 50138998/62499 -75058/62499 
7629400/62499 7380400/62499 7625600/62501 6369600/62501 
11344800/20833 9587800/20833 34030600/62501 29986600/62501 
-60000/125 25008/125 -480/1 200/1 
-62452/125 62500/125 -3123110/6251 3122904/6251 
26379400/62499 7455400/62499 26620600/62501 7456600/62501 
36565600/62501 21246600/62501 600/1 340/1 
32739400/62499 34980400/62499 32735600/62501 33769600/62501 
11378266/20833 1221300/20833 34134698/62499 3688900/62499 
36644798/62499 1153900/62499 36644698/62499 1178900/62499 
7558/25 0/25 302/1 0/1 
23860302/62501 2480100/62501 23860202/62501 2455100/62501 
-400/1 324/1 -400/1 336/1 
-470/1 500/1 -2350/5 2492/5 
